2022-05-02 18:01:45,197 - dash_client.py:506 - INFO - Downloading MPD file http://server/media/BigBuckBunny/4sec/BigBuckBunny_4s.mpd
2022-05-02 18:05:20,962 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 844980.740028, next_bitrate = 577751.0
2022-05-02 18:05:24,292 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 826389.664235, next_bitrate = 577751.0
2022-05-02 18:05:26,328 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 873663.964146, next_bitrate = 577751.0
2022-05-02 18:05:33,128 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 852157.443092, next_bitrate = 577751.0
2022-05-02 18:05:36,216 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 833689.720999, next_bitrate = 577751.0
2022-05-02 18:05:38,433 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 896419.126865, next_bitrate = 577751.0
2022-05-02 18:05:46,015 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 870539.10604, next_bitrate = 577751.0
2022-05-02 18:05:49,240 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 850061.711264, next_bitrate = 577751.0
2022-05-02 18:05:52,567 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 832391.437299, next_bitrate = 577751.0
2022-05-02 18:05:54,417 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 893738.170604, next_bitrate = 577751.0
2022-05-02 18:06:00,861 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 865440.131342, next_bitrate = 577751.0
2022-05-02 18:06:02,848 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 950203.275799, next_bitrate = 782553.0
2022-05-02 18:06:04,823 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 1063330.88903, next_bitrate = 782553.0
2022-05-02 18:06:10,709 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 1121515.54392, next_bitrate = 782553.0
2022-05-02 18:06:12,843 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 1203113.63408, next_bitrate = 782553.0
2022-05-02 18:06:19,012 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 1241628.35842, next_bitrate = 1008699.0
2022-05-02 18:06:23,346 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 1214987.35894, next_bitrate = 1008699.0
2022-05-02 18:06:28,989 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 1124947.60114, next_bitrate = 782553.0
2022-05-02 18:06:33,118 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 1051750.1387, next_bitrate = 782553.0
2022-05-02 18:06:37,417 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 993802.509564, next_bitrate = 782553.0
2022-05-02 18:06:41,836 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 948329.158987, next_bitrate = 782553.0
2022-05-02 18:06:46,328 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 911474.892404, next_bitrate = 577751.0
2022-05-02 18:06:48,504 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 882694.527662, next_bitrate = 577751.0
2022-05-02 18:06:51,429 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 859612.292914, next_bitrate = 577751.0
2022-05-02 18:06:55,064 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 839741.242753, next_bitrate = 577751.0
2022-05-02 18:06:58,633 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 824994.524556, next_bitrate = 577751.0
2022-05-02 18:07:02,108 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 814178.148278, next_bitrate = 577751.0
2022-05-02 18:07:07,836 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 956783.560744, next_bitrate = 782553.0
2022-05-02 18:07:11,682 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 926949.182707, next_bitrate = 577751.0
2022-05-02 18:07:15,328 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 893010.511894, next_bitrate = 577751.0
2022-05-02 18:07:18,549 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 868019.81, next_bitrate = 577751.0
2022-05-02 18:07:21,096 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 848577.666549, next_bitrate = 577751.0
2022-05-02 18:07:26,645 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 985950.473089, next_bitrate = 782553.0
2022-05-02 18:07:30,032 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 968919.515413, next_bitrate = 782553.0
2022-05-02 18:07:35,533 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 1082316.36019, next_bitrate = 782553.0
2022-05-02 18:07:37,745 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 1108004.77001, next_bitrate = 782553.0
2022-05-02 18:07:43,498 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 1182228.42881, next_bitrate = 782553.0
2022-05-02 18:07:46,420 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 1155599.23002, next_bitrate = 782553.0
2022-05-02 18:07:52,238 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 1231343.6341, next_bitrate = 1008699.0
2022-05-02 18:07:55,338 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 1187843.10075, next_bitrate = 782553.0
2022-05-02 18:07:59,452 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 1103548.35095, next_bitrate = 782553.0
2022-05-02 18:08:03,887 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 1035879.65797, next_bitrate = 782553.0
2022-05-02 18:08:07,928 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 983196.806998, next_bitrate = 782553.0
2022-05-02 18:08:12,091 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 938167.435432, next_bitrate = 577751.0
2022-05-02 18:08:15,662 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 902577.196454, next_bitrate = 577751.0
2022-05-02 18:08:18,980 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 872737.667936, next_bitrate = 577751.0
2022-05-02 18:08:22,435 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 851192.944093, next_bitrate = 577751.0
2022-05-02 18:08:28,012 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 986715.920787, next_bitrate = 782553.0
2022-05-02 18:08:30,995 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 981217.193504, next_bitrate = 782553.0
2022-05-02 18:08:34,931 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 937579.23833, next_bitrate = 577751.0
2022-05-02 18:08:37,674 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 901084.655583, next_bitrate = 577751.0
2022-05-02 18:08:42,838 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 1026626.67945, next_bitrate = 782553.0
2022-05-02 18:08:45,444 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 1080590.91906, next_bitrate = 782553.0
2022-05-02 18:08:51,000 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 1173334.36076, next_bitrate = 782553.0
2022-05-02 18:08:53,505 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 1213706.77694, next_bitrate = 1008699.0
2022-05-02 18:09:00,499 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 1277255.01629, next_bitrate = 1008699.0
2022-05-02 18:09:04,400 - basic_dash2.py:63 - INFO - Basic Adaptation: Download Rate = 1198508.80059, next_bitrate = 782553.0
